date,breau,month,year,station,lon,_id,time,type,lat
3,大園分局,1,109,草漯所,121.1100874,272,1090103,汽車竊盜,25.02681
3,蘆竹分局,1,109,南崁所,121.2907698,273,1090103,汽車竊盜,25.0519153
1,八德分局,1,109,大安所,121.3234515,274,1090101,汽車竊盜,24.9704372
31,大園分局,12,108,埔心所,121.2363688,275,1081231,汽車竊盜,25.0206665
27,龜山分局,12,108,龜山所,121.3692343,276,1081227,汽車竊盜,25.0033141
26,八德分局,12,108,大安所,121.3184482,277,1081226,汽車竊盜,24.972154
22,楊梅分局,12,108,新屋所,121.03109,278,1081222,汽車竊盜,24.986007
17,大園分局,12,108,草漯所,121.1366711,279,1081217,汽車竊盜,25.0370078
14,中壢分局,12,108,大崙所,121.1945113,280,1081214,汽車竊盜,25.0072755
14,中壢分局,12,108,中福所,121.235425,281,1081214,汽車竊盜,24.971277
13,楊梅分局,12,108,上湖所,121.1242289,282,1081213,汽車竊盜,24.9127869
12,中壢分局,12,108,興國所,121.2050813,283,1081212,汽車竊盜,24.9623225
11,中壢分局,12,108,大崙所,121.1918626,284,1081211,汽車竊盜,24.9725685
9,龍潭分局,12,108,高平所,121.2064221,285,1081209,汽車竊盜,24.83272
8,平鎮分局,12,108,建安所,121.2448242,286,1081208,汽車竊盜,24.9223141
7,大溪分局,12,108,溪內所,121.3844607,287,1081207,汽車竊盜,24.7902703
6,楊梅分局,12,108,新屋所,121.0675656,288,1081206,汽車竊盜,24.9685242
6,楊梅分局,12,108,大坡所,121.0272008,289,1081206,汽車竊盜,24.9752092
6,蘆竹分局,12,108,大竹所,121.2725818,290,1081206,汽車竊盜,25.0100094
3,中壢分局,12,108,普仁所,121.2454537,291,1081203,汽車竊盜,24.9451287
2,中壢分局,12,108,普仁所,121.2366244,292,1081202,汽車竊盜,24.9492953
1,大園分局,12,108,觀音所,121.1056342,293,1081201,汽車竊盜,24.9992493
29,楊梅分局,11,108,幼獅所,121.1645697,294,1081129,汽車竊盜,24.9323969
29,桃園分局,11,108,中路所,121.3020688,295,1081129,汽車竊盜,24.9909209
26,楊梅分局,11,108,幼獅所,121.1855473,296,1081126,汽車竊盜,24.9228065
25,桃園分局,11,108,埔子所,121.3029639,297,1081125,汽車竊盜,25.0015551
24,平鎮分局,11,108,建安所,121.246768,298,1081124,汽車竊盜,24.914774
23,桃園分局,11,108,同安所,121.297032,299,1081123,汽車竊盜,25.0198046
23,蘆竹分局,11,108,南崁所,121.2953089,300,1081123,汽車竊盜,25.0462073
22,龍潭分局,11,108,龍潭所,121.2175015,301,1081122,汽車竊盜,24.8517972
21,大溪分局,11,108,圳頂所,121.2768997,302,1081121,汽車竊盜,24.9052615
20,桃園分局,11,108,埔子所,121.2885908,303,1081120,汽車竊盜,25.0005796
20,平鎮分局,11,108,宋屋所,121.1864652,304,1081120,汽車竊盜,24.9589653
18,龍潭分局,11,108,高平所,121.1985044,305,1081118,汽車竊盜,24.8317508
18,大園分局,11,108,草漯所,121.1090659,306,1081118,汽車竊盜,25.0494746
17,中壢分局,11,108,大崙所,121.1758274,307,1081117,汽車竊盜,24.9852577
